time,open,high,low,close,volume,rsi,macd,macd_sig,mh,sk,sd,e9,e21,e50,tp_p,date_utc,vwap
2026-04-11 16:40:00,72661.02,72684.71,72640.37,72684.71,6.27322,42.18350464483497,-35.23532803218404,-37.39536344097064,2.160035408786598,45.25802074640842,63.46980362854339,72716.6011510658,72746.35659282196,72793.80912912887,72669.93000000001,2026-04-11,72879.98899931791
2026-04-11 16:45:00,72684.7,72703.27,72673.85,72673.85,2.13698,41.260510901553744,-36.55950244169799,-37.228191241116114,0.6686887994181276,26.59330811538986,44.17924653881974,72708.05092085265,72739.7650843836,72789.1048495552,72683.65666666666,2026-04-11,72879.64012298628
2026-04-11 16:50:00,72673.85,72769.3,72673.85,72752.31,2.63251,49.805565235357356,-30.92141113926482,-35.96683522074586,5.045424081481038,50.371876745205384,40.74106853566793,72716.90273668212,72740.90553125781,72787.66191427852,72731.82,2026-04-11,72879.31724891302
2026-04-11 16:55:00,72752.31,72766.35,72730.47,72730.47,1.60103,47.72436513979186,-27.893944607276353,-34.35225709805196,6.458312490775604,66.02272763892547,47.66263749984029,72719.6161893457,72739.95684659801,72785.41909411074,72742.43000000001,2026-04-11,72879.13564905079
2026-04-11 17:00:00,72731.99,72769.09,72711.09,72749.46,3.11115,49.692809057083544,-23.68924638867611,-32.21965495617679,8.530408567500679,92.94433010608368,69.77964483007156,72725.58495147657,72740.82076963456,72784.00893355737,72743.21333333333,2026-04-11,72878.78614950346
2026-04-11 17:05:00,72751.67,72751.67,72719.83,72720.81,1.62162,46.827888083963614,-22.41047432126652,-30.25781882919474,7.84734450792822,83.36824726499172,80.77843500333367,72724.62996118126,72739.00160875868,72781.5305440061,72730.77,2026-04-11,72878.58803721017
2026-04-11 17:10:00,72720.81,72740.75,72720.81,72736.8,3.88466,48.6086967141707,-19.877641797545948,-28.181783422864985,8.304141625319037,86.2122199271325,87.50826576606933,72727.063968945,72738.8014625079,72779.77640502548,72732.78666666667,2026-04-11,72878.12204614076
2026-04-11 17:15:00,72739.79,72932.12,72722.39,72837.09,8.11438,58.089587215484094,-9.666361138806678,-24.478698966053326,14.812337827246647,86.5748389921023,85.38510206140889,72749.06917515601,72747.73678409809,72782.02399698526,72830.53333333334,2026-04-11,72877.80644937376
2026-04-11 17:20:00,72837.09,72837.1,72805.31,72808.66,10.57445,54.99240927098675,-3.8238322906399844,-20.34772563097066,16.523893340330677,90.61500810836007,87.80068900919832,72760.9873401248,72753.27525827098,72783.06854612309,72817.02333333333,2026-04-11,72877.28564238678
2026-04-11 17:25:00,72808.66,72833.33,72771.46,72794.55,6.21272,53.468699249339785,-0.3283600330760237,-16.343852511391734,16.01549247831571,86.20468446684822,87.79817718910357,72767.69987209985,72757.02750751907,72783.5187992163,72799.78000000001,2026-04-11,72876.89742911594
